actual_time,match_number,key,event_key,comp_level,red1,red2,red3,red_score,blue1,blue2,blue3,blue_score,blue_adjust_points,blue_auto_amp_note_count,blue_auto_amp_note_points,blue_auto_leave_points,blue_auto_line_robot1,blue_auto_line_robot2,blue_auto_line_robot3,blue_auto_points,blue_auto_speaker_note_count,blue_auto_speaker_note_points,blue_auto_total_note_points,blue_coop_note_played,blue_coopertition_bonus_achieved,blue_coopertition_criteria_met,blue_end_game_harmony_points,blue_end_game_note_in_trap_points,blue_end_game_on_stage_points,blue_end_game_park_points,blue_end_game_robot1,blue_end_game_robot2,blue_end_game_robot3,blue_end_game_spot_light_bonus_points,blue_end_game_total_stage_points,blue_ensemble_bonus_achieved,blue_ensemble_bonus_on_stage_robots_threshold,blue_ensemble_bonus_stage_points_threshold,blue_foul_count,blue_foul_points,blue_g206_penalty,blue_g408_penalty,blue_g424_penalty,blue_melody_bonus_achieved,blue_melody_bonus_threshold,blue_melody_bonus_threshold_coop,blue_melody_bonus_threshold_non_coop,blue_mic_center_stage,blue_mic_stage_left,blue_mic_stage_right,blue_rp,blue_tech_foul_count,blue_teleop_amp_note_count,blue_teleop_amp_note_points,blue_teleop_points,blue_teleop_speaker_note_amplified_count,blue_teleop_speaker_note_amplified_points,blue_teleop_speaker_note_count,blue_teleop_speaker_note_points,blue_teleop_total_note_points,blue_total_points,blue_trap_center_stage,blue_trap_stage_left,blue_trap_stage_right,red_adjust_points,red_auto_amp_note_count,red_auto_amp_note_points,red_auto_leave_points,red_auto_line_robot1,red_auto_line_robot2,red_auto_line_robot3,red_auto_points,red_auto_speaker_note_count,red_auto_speaker_note_points,red_auto_total_note_points,red_coop_note_played,red_coopertition_bonus_achieved,red_coopertition_criteria_met,red_end_game_harmony_points,red_end_game_note_in_trap_points,red_end_game_on_stage_points,red_end_game_park_points,red_end_game_robot1,red_end_game_robot2,red_end_game_robot3,red_end_game_spot_light_bonus_points,red_end_game_total_stage_points,red_ensemble_bonus_achieved,red_ensemble_bonus_on_stage_robots_threshold,red_ensemble_bonus_stage_points_threshold,red_foul_count,red_foul_points,red_g206_penalty,red_g408_penalty,red_g424_penalty,red_melody_bonus_achieved,red_melody_bonus_threshold,red_melody_bonus_threshold_coop,red_melody_bonus_threshold_non_coop,red_mic_center_stage,red_mic_stage_left,red_mic_stage_right,red_rp,red_tech_foul_count,red_teleop_amp_note_count,red_teleop_amp_note_points,red_teleop_points,red_teleop_speaker_note_amplified_count,red_teleop_speaker_note_amplified_points,red_teleop_speaker_note_count,red_teleop_speaker_note_points,red_teleop_total_note_points,red_total_points,red_trap_center_stage,red_trap_stage_left,red_trap_stage_right,_dlt_load_id,_dlt_id
1712417212,98,2024gacmp_qm98,2024gacmp,qm,8865,1287,342,50,6340,9477,9480,78,0,0,0,2,Yes,No,No,17,3,15,15,true,true,true,0,0,3,2,Parked,Parked,StageRight,1,6,true,2,10,0,20,false,false,false,true,18,18,21,false,false,true,4,0,7,7,41,4,20,4,8,35,78,false,false,false,0,0,0,2,No,Yes,No,17,3,15,15,true,true,true,0,0,0,0,None,None,None,0,0,false,2,10,0,0,false,false,true,false,18,18,21,false,false,false,0,4,5,5,33,4,20,4,8,33,50,false,false,false,1732721062.1783433,lSZvNod2S4ZPXg
1712417626,99,2024gacmp_qm99,2024gacmp,qm,6366,9500,1102,76,9571,4509,2815,33,0,0,0,2,No,Yes,No,7,1,5,5,false,false,false,0,0,0,2,Parked,Parked,None,0,2,false,2,10,0,0,false,false,false,false,21,18,21,false,false,false,0,0,7,7,26,3,15,1,2,24,33,false,false,false,0,0,0,4,Yes,No,Yes,24,4,20,20,true,false,true,2,0,9,0,CenterStage,StageLeft,CenterStage,2,13,true,2,10,0,0,false,false,false,true,21,18,21,true,false,false,4,0,10,10,52,3,15,7,14,39,76,false,false,false,1732721062.1783433,uoYw+tFviCsA0A
1712433188,1,2024gacmp_sf10m1,2024gacmp,sf,6366,5130,343,92,7451,4026,1287,41,0,0,0,4,Yes,Yes,No,24,4,20,20,false,false,false,0,0,0,1,None,Parked,None,0,1,false,2,10,0,0,false,false,false,false,21,18,21,false,false,false,0,0,4,4,17,2,10,1,2,16,41,false,false,false,0,0,0,4,Yes,No,Yes,24,4,20,20,false,false,false,0,0,3,1,StageLeft,None,Parked,0,4,false,2,10,0,0,false,false,false,false,21,18,21,false,false,false,0,0,8,8,68,10,50,3,6,64,92,false,false,false,1732721062.1783433,HRhLMy/HiV0PqA
1712434500,1,2024gacmp_sf11m1,2024gacmp,sf,8575,1771,2974,120,5293,1414,1261,74,0,0,0,4,No,Yes,Yes,34,6,30,30,false,false,false,0,0,0,2,Parked,Parked,None,0,2,false,2,10,2,0,false,false,false,false,21,18,21,false,false,false,0,0,6,6,40,6,30,1,2,38,74,false,false,false,0,0,0,6,Yes,Yes,Yes,51,9,45,45,false,false,false,0,0,3,2,CenterStage,Parked,Parked,0,5,false,2,10,0,4,false,false,false,false,21,18,21,false,false,false,0,0,9,9,65,9,45,3,6,60,120,false,false,false,1732721062.1783433,WEchYZUTcm4MPw
1712434913,1,2024gacmp_sf12m1,2024gacmp,sf,6366,5130,343,62,6919,4451,1683,133,0,0,0,6,Yes,Yes,Yes,41,7,35,35,false,false,false,0,0,0,3,Parked,Parked,Parked,0,3,false,2,10,0,10,false,false,false,false,21,18,21,false,false,false,0,0,8,8,82,11,55,8,16,79,133,false,false,false,0,0,0,4,Yes,No,Yes,24,4,20,20,false,false,false,0,0,0,2,None,Parked,Parked,0,2,false,2,10,0,0,false,false,false,false,21,18,21,true,false,false,0,2,7,7,38,5,25,2,4,36,62,false,false,false,1732721062.1783433,2LXNkPHSbRaThw
1712436175,1,2024gacmp_sf13m1,2024gacmp,sf,1261,1414,5293,90,6919,4451,1683,109,0,0,0,6,Yes,Yes,Yes,31,5,25,25,false,false,false,0,0,3,1,StageLeft,None,Parked,0,4,false,2,10,0,20,false,false,false,false,21,18,21,false,false,false,0,5,6,6,58,6,30,9,18,54,109,false,false,false,0,0,0,4,Yes,Yes,No,34,6,30,30,false,false,false,0,0,0,1,Parked,None,None,0,1,false,2,10,0,25,false,false,false,false,21,18,21,false,false,false,0,4,8,8,31,4,20,1,2,30,90,false,false,false,1732721062.1783433,AGUMWASpI6sY+w
1712426822,1,2024gacmp_sf1m1,2024gacmp,sf,8575,1771,2974,165,4112,8849,1746,34,0,0,0,4,Yes,No,Yes,24,4,20,20,false,false,false,0,0,0,0,None,None,None,0,0,false,2,10,1,0,false,false,false,false,21,18,21,false,true,false,0,1,2,2,10,0,0,4,8,10,34,false,false,false,0,0,0,6,Yes,Yes,Yes,46,8,40,40,false,false,false,0,0,3,2,CenterStage,Parked,Parked,0,5,false,2,10,0,7,false,false,false,false,21,18,21,false,false,false,0,0,10,10,112,17,85,6,12,107,165,false,false,false,1732721062.1783433,PlFOmOZ7A7R9yg
1712427687,1,2024gacmp_sf2m1,2024gacmp,sf,1287,4026,7451,85,6919,4451,1683,87,0,0,0,6,Yes,Yes,Yes,36,6,30,30,false,false,false,0,0,3,1,None,CenterStage,Parked,0,4,false,2,10,1,5,false,false,false,false,21,18,21,false,false,false,0,3,8,8,46,4,20,7,14,42,87,false,false,false,0,0,0,4,No,Yes,Yes,24,4,20,20,false,false,false,0,0,0,2,None,Parked,Parked,0,2,false,2,10,0,17,false,false,false,false,21,18,21,false,false,false,0,1,8,8,44,6,30,2,4,42,85,false,false,false,1732721062.1783433,JBWkU4jjlJDYnw
1712428208,1,2024gacmp_sf3m1,2024gacmp,sf,1261,3489,1414,84,1102,4533,6925,65,0,0,0,4,Yes,No,Yes,29,5,25,25,false,false,false,0,0,3,2,Parked,StageRight,Parked,0,5,false,2,10,0,0,false,false,false,false,21,18,21,false,false,false,0,4,6,6,36,3,15,5,10,31,65,false,false,false,0,0,0,4,Yes,No,Yes,29,5,25,25,false,false,false,0,0,0,1,None,None,Parked,0,1,false,2,10,0,20,false,false,false,false,21,18,21,false,false,false,0,0,2,2,35,2,10,11,22,34,84,false,false,false,1732721062.1783433,CJLE45LqCKx31w
1712429870,1,2024gacmp_sf4m1,2024gacmp,sf,6366,5130,343,101,4509,4188,6340,81,0,0,0,6,Yes,Yes,Yes,36,6,30,30,false,false,false,0,0,0,2,Parked,None,Parked,0,2,false,2,10,2,2,false,false,false,false,21,18,21,false,false,false,0,1,6,6,43,5,25,5,10,41,81,false,false,false,0,0,0,4,Yes,No,Yes,19,3,15,15,false,false,false,0,0,3,2,CenterStage,Parked,Parked,0,5,false,2,10,1,9,false,false,false,false,21,18,21,false,false,false,0,0,8,8,73,10,50,5,10,68,101,false,false,false,1732721062.1783433,Dcgsij3OIV/qCQ
